timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663498768264,3135,Post Books,200,OK,Stress_test 1-13,text,true,,403,363,20,20,https://project-three-application-type.azurewebsites.net/api/Books,3135,0,2415
1663498768161,3238,Post Books,200,OK,Stress_test 1-7,text,true,,403,363,20,20,https://project-three-application-type.azurewebsites.net/api/Books,3238,0,2517
1663498770810,747,Get Books by ID,200,OK,Stress_test 1-12,text,true,,4618,194,20,20,https://project-three-application-type.azurewebsites.net/api/Books/3,747,0,0
1663498721233,50702,Get books,200,OK,Stress_test 1-16,text,true,,925632,192,20,20,https://project-three-application-type.azurewebsites.net/api/Books,1158,0,0
1663498771399,612,Delete Books,200,OK,Stress_test 1-7,text,true,,4693,194,20,20,https://project-three-application-type.azurewebsites.net/api/Books/3,612,0,0
1663498771399,637,Delete Books,200,OK,Stress_test 1-13,text,true,,5246,194,20,20,https://project-three-application-type.azurewebsites.net/api/Books/9,637,0,0
1663498771557,495,Put Books,200,OK,Stress_test 1-12,text,true,,403,364,20,20,https://project-three-application-type.azurewebsites.net/api/Books/3,495,0,0
1663498771935,497,Post Books,200,OK,Stress_test 1-16,text,true,,403,363,19,19,https://project-three-application-type.azurewebsites.net/api/Books,497,0,0
1663498772012,625,Get Books by ID,200,OK,Stress_test 1-7,text,true,,4762,194,19,19,https://project-three-application-type.azurewebsites.net/api/Books/3,625,0,0
1663498772037,721,Get Books by ID,200,OK,Stress_test 1-13,text,true,,4901,194,19,19,https://project-three-application-type.azurewebsites.net/api/Books/9,721,0,0
1663498772432,1202,Delete Books,200,OK,Stress_test 1-16,text,true,,3888,194,19,19,https://project-three-application-type.azurewebsites.net/api/Books/7,1202,0,0
1663498772637,1096,Put Books,200,OK,Stress_test 1-7,text,true,,403,364,19,19,https://project-three-application-type.azurewebsites.net/api/Books/3,1096,0,0
1663498772759,1036,Put Books,200,OK,Stress_test 1-13,text,true,,403,364,18,18,https://project-three-application-type.azurewebsites.net/api/Books/9,1036,0,0
1663498773635,3027,Get Books by ID,200,OK,Stress_test 1-16,text,true,,6170,194,17,17,https://project-three-application-type.azurewebsites.net/api/Books/7,3027,0,2213
1663498776663,1181,Put Books,200,OK,Stress_test 1-16,text,true,,403,364,17,17,https://project-three-application-type.azurewebsites.net/api/Books/7,1181,0,0
1663498716024,63065,Get books,200,OK,Stress_test 1-14,text,true,,917622,192,16,16,https://project-three-application-type.azurewebsites.net/api/Books,853,0,0
1663498731024,49546,Get books,200,OK,Stress_test 1-21,text,true,,935876,192,16,16,https://project-three-application-type.azurewebsites.net/api/Books,954,0,0
1663498717840,63404,Get books,200,OK,Stress_test 1-15,text,true,,892307,192,16,16,https://project-three-application-type.azurewebsites.net/api/Books,969,0,0
1663498780570,882,Post Books,200,OK,Stress_test 1-21,text,true,,403,363,16,16,https://project-three-application-type.azurewebsites.net/api/Books,882,0,0
1663498781452,585,Delete Books,200,OK,Stress_test 1-21,text,true,,4214,194,16,16,https://project-three-application-type.azurewebsites.net/api/Books/7,585,0,0
1663498779090,3016,Post Books,200,OK,Stress_test 1-14,text,true,,403,363,16,16,https://project-three-application-type.azurewebsites.net/api/Books,3016,0,2486
1663498782037,869,Get Books by ID,200,OK,Stress_test 1-21,text,true,,6919,194,16,16,https://project-three-application-type.azurewebsites.net/api/Books/7,869,0,0
